5700,0.998,0.994,0.982,0.924,0.836,0.62,0.472,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5800,0.998,0.992,0.972,0.934,0.826,0.636,0.434,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5900,1.0,0.992,0.978,0.932,0.834,0.634,0.462,0.158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6000,1.0,0.992,0.976,0.924,0.822,0.66,0.456,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6100,1.0,0.996,0.982,0.95,0.834,0.676,0.48,0.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6200,1.0,0.994,0.976,0.944,0.834,0.662,0.468,0.162,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6300,0.996,0.994,0.972,0.916,0.852,0.69,0.456,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6400,1.0,0.996,0.984,0.956,0.848,0.672,0.41,0.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6500,1.0,0.986,0.976,0.934,0.834,0.664,0.394,0.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6600,1.0,0.994,0.976,0.95,0.814,0.674,0.484,0.162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6700,1.0,0.996,0.99,0.93,0.816,0.666,0.46,0.156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6800,1.0,0.998,0.978,0.92,0.824,0.7,0.486,0.124,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6900,0.996,0.996,0.986,0.938,0.79,0.66,0.498,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7000,1.0,0.994,0.974,0.944,0.83,0.72,0.416,0.14,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7100,1.0,1.0,0.986,0.938,0.832,0.682,0.422,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7200,0.998,0.992,0.984,0.918,0.852,0.672,0.442,0.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7300,1.0,0.988,0.988,0.938,0.832,0.672,0.478,0.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7400,1.0,1.0,0.982,0.924,0.838,0.638,0.432,0.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7500,0.998,0.996,0.982,0.946,0.826,0.66,0.486,0.116,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7600,1.0,0.992,0.974,0.944,0.824,0.652,0.48,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7700,0.996,0.996,0.988,0.926,0.846,0.708,0.45,0.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7800,0.998,0.998,0.978,0.926,0.824,0.694,0.48,0.146,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7900,0.998,0.994,0.986,0.926,0.842,0.682,0.416,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8000,1.0,0.996,0.98,0.946,0.822,0.732,0.484,0.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8100,1.0,0.99,0.972,0.928,0.816,0.674,0.448,0.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8200,0.998,0.996,0.976,0.94,0.816,0.684,0.478,0.152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8300,0.996,0.996,0.98,0.93,0.854,0.698,0.45,0.134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
