,robust
97600,0.41
97700,0.41
97800,0.43
97900,0.454
98000,0.432
98100,0.396
98200,0.412
98300,0.39
98400,0.402
98500,0.422
98600,0.436
98700,0.422
98800,0.4
98900,0.398
99000,0.432
99100,0.388
99200,0.422
99300,0.452
99400,0.434
99500,0.402
99600,0.43
99700,0.414
99800,0.384
99900,0.444
100000,0.388
