,id,status,viralParams,pop,tau,phase
26,26,R,R,"[0.8532001384146894, 0.8532001384146894, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.1026378359374993, 1.1026378359374993, 1.1026378359374993, 1.1026378359374993, 1.1026378359374995, 1.2217593749999995, 1.1026378359374995, 1.2217593749999995, 1.1026378359374993, 1.0475059441406243, 1.0475059441406243, 1.0475059441406243, 1.1026378359374993, 1.0475059441406245, 1.0475059441406245, 0.9951306469335932, 0.9951306469335932, 1.2217593749999998, 1.2217593749999998, 1.1606714062499996, 1.0475059441406247, 1.1606714062499996, 1.1606714062499996, 1.1026378359374995, 1.0475059441406247, 1.1606714062499996, 1.1606714062499996, 1.2217593749999995, 1.2217593749999995, 1.2217593749999995, 1.2217593749999995, 1.2217593749999995, 1.2217593749999995, 1.2217593749999995, 1.1026378359374993, 1.1026378359374993, 1.1026378359374993, 1.1606714062499994, 1.2217593749999995, 1.2217593749999995, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.2217593749999995, 1.2217593749999995, 1.2217593749999995, 1.2217593749999995, 1.2217593749999995, 1.1026378359374995, 1.1026378359374995, 1.0475059441406245, 1.0475059441406245, 1.0475059441406245, 1.0475059441406245, 1.1026378359374995, 1.1026378359374995, 1.1026378359374998, 1.1026378359374998, 1.1026378359374998, 1.1026378359374998, 1.1026378359374998, 1.1026378359374998, 1.1026378359374998, 1.1026378359374998, 1.1026378359374995, 1.1026378359374995, 1.1026378359374995, 1.1606714062499996, 1.1606714062499996, 1.1606714062499996, 1.1026378359374995, 1.1606714062499994, 1.1606714062499994, 1.2217593749999995, 1.0475059441406245, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.1026378359374993, 1.0475059441406243, 1.0475059441406243, 1.0475059441406243, 1.1026378359374995, 1.0475059441406245, 1.1026378359374995, 1.1026378359374995, 1.0475059441406245, 1.0475059441406245, 1.0475059441406245, 1.1026378359374995, 0.9951306469335932, 1.0475059441406245, 1.0475059441406245, 1.0475059441406245, 0.9453741145869136, 0.9453741145869136]",18.0,17.0
27,27,S,,[],0,0
28,28,S,,[],0.0,76.0
29,29,S,,[],0.0,44.0
30,30,R,R,"[0.9951306469335932, 0.9951306469335932, 1.1026378359374995, 1.0475059441406245, 1.0475059441406245, 1.0475059441406245, 1.0475059441406245, 1.0475059441406245, 1.0475059441406245, 1.0475059441406245, 1.1026378359374995, 1.1026378359374995, 1.0475059441406245, 1.0475059441406245, 1.1026378359374995, 1.1026378359374995, 0.898105408857568, 0.898105408857568, 0.9951306469335933, 0.9951306469335932, 0.9951306469335932, 0.9951306469335932, 0.9951306469335932, 0.9951306469335932, 1.0475059441406245, 1.0475059441406245, 1.1026378359374995, 0.9951306469335934, 0.9951306469335934, 0.9951306469335934, 0.9951306469335934, 0.9951306469335934, 1.0475059441406245, 1.0475059441406245, 0.9951306469335933, 0.9951306469335933, 1.2217593749999995, 1.2217593749999995, 0.9951306469335931, 0.9951306469335931, 1.1026378359374993, 1.1026378359374993, 1.2217593749999995, 0.9951306469335932, 0.9951306469335932, 0.8981054088575678, 0.8532001384146894, 0.8105401314939549, 1.0475059441406245, 1.0475059441406245, 0.9951306469335932, 1.0475059441406245, 1.0475059441406245, 1.0475059441406245, 1.0475059441406245, 1.0475059441406245, 0.9951306469335932, 0.9951306469335932, 1.0475059441406245, 0.9951306469335932, 0.9951306469335932, 0.9951306469335932, 0.9453741145869136, 0.9453741145869136, 1.0475059441406245, 0.9951306469335932, 1.0475059441406245, 1.0475059441406245, 1.0475059441406245, 1.1026378359374995, 1.1026378359374993, 1.0475059441406243, 1.0475059441406243, 1.1026378359374993, 1.1026378359374993, 0.9951306469335931, 0.9951306469335931, 0.9951306469335931, 0.9951306469335931, 1.0475059441406243, 1.0475059441406243, 1.0475059441406243, 1.1026378359374993, 1.1026378359374993, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.0475059441406245, 1.2217593749999995, 1.2217593749999995, 1.2217593749999995, 1.2217593749999995, 1.2217593749999995, 1.2217593749999995, 1.1026378359374993, 1.1026378359374993, 1.1026378359374993, 1.1026378359374995, 1.1026378359374995, 1.1026378359374995, 1.1026378359374995]",15.0,14.0
31,31,S,,[],0.0,2.0
32,32,S,,[],0,0
33,33,S,,[],0.0,2.0
34,34,S,,[],0.0,71.0
35,35,S,,[],0,0
36,36,S,,[],0,0
37,37,S,,[],0.0,45.0
38,38,S,,[],0,0
39,39,R,R,"[1.3537499999999998, 1.3537499999999998, 1.2217593749999995, 1.2217593749999995, 1.2217593749999995, 1.2217593749999995, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.2860624999999997, 1.2860624999999997, 1.2860624999999997, 1.2860624999999997, 1.2860624999999997, 1.2217593749999995, 1.2217593749999995, 1.2860624999999997, 1.2860624999999997, 1.2860624999999997, 1.2860624999999997, 1.2860624999999997, 1.3537499999999998, 1.5, 1.5, 1.5, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.2860624999999997, 1.2860624999999997, 1.2860624999999997, 1.2860624999999997, 1.2860624999999997, 1.2860624999999997, 1.1606714062499994, 1.1606714062499994, 1.1606714062499994, 1.2860624999999997, 1.2860624999999997, 1.2860624999999997, 1.5, 1.5, 1.5, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.2860624999999999, 1.2860624999999999, 1.3537499999999998, 1.35375, 1.35375, 1.2217593749999998, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.1026378359374995, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.5, 1.5, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.5, 1.4249999999999998, 1.4249999999999998, 1.3537499999999998, 1.3537499999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.3537499999999998, 1.3537499999999998, 1.4249999999999998, 1.4249999999999998, 1.4249999999999998, 1.3537499999999998, 1.3537499999999998, 1.3537499999999998, 1.5, 1.5, 1.5, 1.5, 1.3537499999999998, 1.1606714062499996, 1.3537499999999998, 1.4249999999999998, 1.4249999999999998, 1.3537499999999998, 1.3537499999999998]",5.0,4.0
40,40,S,,[],0.0,93.0
41,41,S,,[],0,0
42,42,S,,[],0.0,117.0
43,43,S,,[],0,0
44,44,S,,[],0,0
45,45,S,,[],0,0
46,46,S,,[],0.0,69.0
47,47,S,,[],0.0,47.0
48,48,S,,[],0.0,68.0
49,49,S,,[],0,0
50,50,S,,[],0.0,66.0
51,51,S,,[],0.0,22.0
52,52,S,,[],0.0,83.0
53,53,S,,[],0,0
54,54,S,,[],0.0,88.0
55,55,S,,[],0.0,29.0
56,56,S,,[],0,0
