,id,status,infection_nb,viralParams,incubation_time,k
180,180,R,3.0,"{'sb': 0.5, 'sd': 0.9, 'mu': 0.1}",0.0,0.0
181,181,R,3.0,"{'sb': 0.5, 'sd': 0.9, 'mu': 0.1}",0.0,0.0
182,182,R,3.0,"{'sb': 0.5, 'sd': 0.9, 'mu': 0.1}",0.0,0.0
183,183,R,3.0,"{'sb': 0.5, 'sd': 0.9, 'mu': 0.1}",0.0,0.0
184,184,R,3.0,"{'sb': 0.5, 'sd': 0.9, 'mu': 0.1}",0.0,0.0
185,185,E,6.0,"{'sb': 0.5, 'sd': 0.05, 'mu': 0.1}",-102.0,5.0
186,186,R,3.0,"{'sb': 0.5, 'sd': 0.9, 'mu': 0.1}",0.0,0.0
187,187,R,3.0,"{'sb': 0.5, 'sd': 0.05, 'mu': 0.1}",0.0,0.0
188,188,R,3.0,"{'sb': 0.5, 'sd': 0.9, 'mu': 0.1}",0.0,0.0
189,189,R,3.0,"{'sb': 0.5, 'sd': 0.9, 'mu': 0.1}",0.0,0.0
190,190,R,3.0,"{'sb': 0.5, 'sd': 0.9, 'mu': 0.1}",0.0,0.0
191,191,R,3.0,"{'sb': 0.5, 'sd': 0.9, 'mu': 0.1}",0.0,0.0
192,192,R,3.0,"{'sb': 0.5, 'sd': 0.9, 'mu': 0.1}",0.0,0.0
193,193,R,3.0,"{'sb': 0.5, 'sd': 0.9, 'mu': 0.1}",0.0,0.0
194,194,R,3.0,"{'sb': 0.5, 'sd': 0.9, 'mu': 0.1}",0.0,0.0
195,195,R,3.0,"{'sb': 0.5, 'sd': 0.9, 'mu': 0.1}",0.0,0.0
196,196,R,3.0,"{'sb': 0.5, 'sd': 0.9, 'mu': 0.1}",0.0,0.0
197,197,R,3.0,"{'sb': 0.5, 'sd': 0.9, 'mu': 0.1}",0.0,0.0
198,198,R,3.0,"{'sb': 0.5, 'sd': 0.9, 'mu': 0.1}",0.0,0.0
199,199,R,3.0,"{'sb': 0.5, 'sd': 0.9, 'mu': 0.1}",0.0,0.0
200,200,R,3.0,"{'sb': 0.5, 'sd': 0.9, 'mu': 0.1}",0.0,0.0
201,201,R,3.0,"{'sb': 0.5, 'sd': 0.9, 'mu': 0.1}",0.0,0.0
